Time,AirTemp_Obs,AirTemp_CLM,RH_Obs,RH_CLM,Shortwave_Obs,Shortwave_CLM,Longwave_Obs,Longwave_CLM,AirPressure_Obs,AirPressure_CLM,Rainfall_Obs,Rainfall_CLM,Snowfall_Obs,Snowfall_CLM,SnowDepth_Echosounder_obs,SnowDepth_MSC_obs,SnowDepth_CLM,SWE_CLM,SCF_CLM,SoilTemp_2cm_Obs,SoilTemp_5cm_Obs,SoilTemp_10cm_Obs,SoilTemp_20cm_Obs,SnowLayerThickness_1,SnowLayerThickness_2,SnowLayerThickness_3,SnowLayerThickness_4,SnowLayerDensities_1,SnowLayerDensities_2,SnowLayerDensities_3,SnowLayerDensities_4,SnowLayerGrainRadii_1,SnowLayerGrainRadii_2,SnowLayerGrainRadii_3,SnowLayerGrainRadii_4,SnowThermalConductivities_1,SnowThermalConductivities_2,SnowThermalConductivities_3,SnowThermalConductivities_4,SnowLayerTemps_1,SnowLayerTemps_2,SnowLayerTemps_3,SnowLayerTemps_4,SnowIceContent_1,SnowIceContent_2,SnowIceContent_3,SnowIceContent_4,SnowLiquidWater_1,SnowLiquidWater_2,SnowLiquidWater_3,SnowLiquidWater_4,SoilTemp_1cm_CLM,SoilTemp_4cm_CLM,SoilTemp_9cm_CLM,SoilTemp_10cm_CLM,SoilTemp_16cm_CLM,SoilTemp_26cm_CLM,SoilTemp_40cm_CLM,SoilTemp_80cm_CLM,SoilTemp_136cm_CLM,SoilTemp_170cm_CLM,SoilTemp_208cm_CLM,SoilTemp_250cm_CLM,SoilTemp_299cm_CLM,SoilTemp_358cm_CLM,SoilTemp_427cm_CLM,PotentialSoilWater_1cm_CLM,SoilMoisture_2cm_Obs,PotentialSoilWater_4cm_CLM,SoilMoisture_5cm_Obs,PotentialSoilWater_9cm_CLM,SoilMoisture_10cm_Obs,PotentialSoilWater_16cm_CLM,SoilMoisture_20cm_Obs,PotentialSoilWater_26cm_CLM,NEE_Obs,NEE_CLM,CH4_Obs,CH4_CLM,NPP_CLM,EcosysResp_CLM,CO2Flux_CLM,SoilResp_CLM
2017-03-21 00:00,-21.9,-22.5999969482422,82,79.9952011108398,0,166.5,179.8,1.00000001335143e-10,101.07,101.02,0,0,0,0,0.391,NaN,0.360481113195419,111.98331451416,1,-13.31,-12.775,-12.41,-12.138,0.0199739169329405,0.0499917566776276,0.109914630651474,0.180657684803009,293.84228515625,340.984344482422,328.906951904297,292.987579345703,0.106417045593262,0.150399597167969,0.205613784790039,0.227374450683594,0.291001617908478,0.374168306589127,0.351778298616409,0.289501428604126,-23.1812957763672,-22.7607635498047,-21.9848846435547,-19.8488220214844,5.86918210983276,17.0464057922363,36.151683807373,52.9304542541504,0,0,0,0,-17.8434356689453,-17.7278045654297,-17.569677734375,-17.6876739501953,-17.3669189453125,-17.0858825683594,-16.6738037109375,-15.4812683105469,-14.0363220214844,-13.4479431152344,-12.6469787597656,-11.5601257324219,-10.3457092285156,-9.0846008300781,-7.9335998535156,-15,-0.004,-15,0.014,-15,0.054,-15,0.073,-15,NaN,0,NaN,0.000437025086532861,0,0,0,0
2017-03-22 00:00,-16.1,-15.2999938964844,85,84.9923629760742,0,215.800003051758,200.5,1.00000001335143e-10,101.41,101.38,0,0,0,0,0.391,NaN,0.360355705022812,111.95735168457,1,-12.502,-12.29,-12.051,-11.872,0.0199650023132563,0.049989178776741,0.109904006123543,0.180559009313583,292.506408691406,341.001922607422,328.938751220703,293.147674560547,0.107125793457031,0.150700302124023,0.205716888427734,0.227488037109375,0.288800865411758,0.374201208353043,0.351836025714874,0.289764255285263,-18.7432312011719,-19.1788696289062,-19.664892578125,-18.887319946289,5.83989238739014,17.0464057922363,36.151683807373,52.9304542541504,0,0,0,0,-17.3708099365234,-17.3369506835937,-17.2703918457031,-17.3170989990234,-17.1549591064453,-16.9582580566406,-16.62412109375,-15.5302490234375,-14.0881103515625,-13.49228515625,-12.686865234375,-11.6005004882812,-10.3900512695312,-9.13132324218748,-7.9780334472656,-15,-0.003,-15,0.011,-15,0.058,-15,0.074,-15,NaN,0,NaN,0.000438603092692315,0,0,0,0
2017-03-23 00:00,-16.7,-17.1000122070312,72,71.9897232055664,0,182.100006103516,182.3,1.00000001335143e-10,100.76,100.78,0,0,0,0,0.391,NaN,0.360221982002258,111.916038513184,1,-12.332,-12.007,-11.712,-11.573,0.0199540574103594,0.049986157566309,0.109891764819622,0.180454328656197,291.301177978516,341.022552490234,328.975372314453,293.317749023438,0.108116409301758,0.151182327270508,0.205828140258789,0.227582534790039,0.286879181861877,0.374239981174469,0.351902544498444,0.290043264627457,-18.1699584960937,-17.8692687988281,-17.6100677490234,-17.4368041992187,5.8126425743103,17.0464057922363,36.151683807373,52.9304542541504,0,0,0,0,-16.9032043457031,-16.8846801757812,-16.8482727050781,-16.8738159179687,-16.7824462890625,-16.6621765136719,-16.4351867675781,-15.530859375,-14.1362060546875,-13.5381225585937,-12.7291320800781,-11.641943359375,-10.4340270996094,-9.17734374999998,-8.02207031249998,-15,-0.008,-15,0.013,-15,0.055,-15,0.071,-15,NaN,0,NaN,0.00043955144911716,0,0,0,0
2017-03-24 00:00,-18.5,-18.4,85,84.9942245483398,0,235.399993896484,235.8,0.216000005602837,100.33,100.34,0,0,4.11571770468081e-05,0,0.391,NaN,0.360094159841537,111.923728942871,1,-12.647,-12.207,-11.903,-11.676,0.0199435595422983,0.0499833598732948,0.109879843890667,0.180348053574562,290.643280029297,341.041625976563,329.011077880859,293.490600585938,0.10908122253418,0.151769989013672,0.205950576782227,0.227693450927734,0.285637229681015,0.374276161193848,0.351967960596085,0.290327996015549,-21.8156188964844,-21.1769622802734,-19.8641876220703,-17.8740447998047,5.79646110534668,17.0464057922363,36.151683807373,52.9304542541504,0,0,0,0,-17.0380310058594,-16.9544738769531,-16.8430236816406,-16.926611328125,-16.7078308105469,-16.5325988769531,-16.2877868652344,-15.4804443359375,-14.173681640625,-13.5820068359375,-12.7723754882812,-11.6843627929687,-10.4779113769531,-9.2227844238281,-8.0656799316406,-15,-0.005,-15,0.006,-15,0.05,-15,0.076,-15,NaN,0,NaN,0.000442478813037862,0,0,0,0
2017-03-25 00:00,-21.3,-19.0000061035156,84,84.9945678710938,0,211.5,212.7,1.00000001335143e-10,100.83,100.82,0,0,2.23491379310337e-05,3.33350021719525e-06,0.391,NaN,0.36722868680954,113.681541442871,1,-12.186,-11.877,-11.608,-11.485,0.0186507813632488,0.0499994643032551,0.109999030828476,0.188363507390022,263.994476318359,328.112426757813,329.368774414063,295.185791015625,0.110174011230469,0.147283843994141,0.20190544128418,0.226619354248047,0.241803526878357,0.351680546998978,0.352596610784531,0.292994499206543,-18.6931518554687,-18.5946258544922,-18.501821899414,-17.8298706054687,4.88092994689941,16.4054489135742,36.2302436828613,55.6037864685059,0,0,0,0,-16.7786010742187,-16.74423828125,-16.6886047363281,-16.728857421875,-16.6022094726562,-16.4624084472656,-16.2301696777344,-15.4376892089844,-14.1979736328125,-13.62021484375,-12.8145812988281,-11.7272094726562,-10.5217651367187,-9.2677062988281,-8.1088928222656,-15,-0.009,-15,0.008,-15,0.053,-15,0.076,-15,NaN,0,NaN,0.000439449943961228,0,0,0,0
2017-03-26 00:00,-17.1,-17.0000061035156,72,73.9900741577148,0,181.199996948242,180.4,1.00000001335143e-10,100.53,100.53,0,0,0,0,0.391,NaN,0.369367748498917,113.968460083008,1,-12.411,-12.019,-11.697,-11.521,0.0185707081109285,0.0499944500625134,0.109989315271378,0.190421566367149,278.259490966797,324.290344238281,329.395965576172,295.739501953125,0.11178141784668,0.147118576049805,0.200944427490234,0.226404541015625,0.265962362289429,0.343412548303604,0.352670311927795,0.294043302536011,-19.572134399414,-19.21591796875,-18.5861419677734,-17.4647888183594,5.16474580764771,16.2127170562744,36.230037689209,56.3151779174805,0,0,0,0,-16.6637329101562,-16.6196960449219,-16.5558837890625,-16.6029724121094,-16.4679626464844,-16.3369506835937,-16.1278442382812,-15.3971923828125,-14.2139953613281,-13.6517395019531,-12.8539489746094,-11.7696899414062,-10.56552734375,-9.31223144531248,-8.15170898437498,-15,-0.003,-15,0.021,-15,0.058,-15,0.075,-15,NaN,0,NaN,0.000437413629925898,0,0,0,0
2017-03-27 00:00,-23.1,-23.5999969482422,82,80.9958038330078,0,188.100006103516,193.7,1.00000001335143e-10,100.78,100.77,0,0,0,0,0.391,NaN,0.369228303432465,113.963821411133,1,-12.602,-12.038,-11.687,-11.49,0.0190084241330624,0.0499884150922298,0.109977595508099,0.190320059657097,273.866485595703,324.329498291016,329.431060791016,295.897247314453,0.112667098999023,0.147665786743164,0.201048645019531,0.226520706176758,0.258997350931168,0.343483120203018,0.352734446525574,0.294304847717285,-21.0248931884765,-20.1071685791015,-18.8462890625,-17.4130462646484,5.20577001571655,16.2127170562744,36.230037689209,56.3151779174805,0,0,0,0,-16.6305297851562,-16.5625671386719,-16.4771179199219,-16.5419677734375,-16.3755859375,-16.2403015136719,-16.038916015625,-15.351171875,-14.22373046875,-13.6773742675781,-12.8897155761719,-11.8110412597656,-10.6090148925781,-9.35639038085935,-8.19412841796873,-15,-0.01,-15,0.015,-15,0.052,-15,0.075,-15,NaN,0,NaN,0.000434643849961257,0,0,0,0
2017-03-28 00:00,-27.8,-26.4,78,78.9965972900391,0,182.100006103516,185.4,1.00000001335143e-10,101.15,101.16,0,0,0,0,0.391,NaN,0.369097799062729,113.958023071289,1,-13.37,-12.6,-12.179,-11.882,0.0189889371395111,0.0499830320477486,0.109966777265072,0.190221443772316,273.9384765625,324.364440917969,329.463470458984,296.050628662109,0.113739227294922,0.148635101318359,0.201186386108398,0.226653945922852,0.259114682674408,0.343546330928802,0.352793872356415,0.29455977678299,-23.6700653076172,-22.7285217285156,-21.0781005859375,-18.3296417236328,5.20180034637451,16.2127170562744,36.230037689209,56.3151779174805,0,0,0,0,-16.8953308105469,-16.7896179199219,-16.6557067871094,-16.7572082519531,-16.4993041992187,-16.3019165039062,-16.0399536132812,-15.3136352539062,-14.2281860351562,-13.6976684570312,-12.921728515625,-11.85068359375,-10.651953125,-9.4001525878906,-8.23624267578123,-15,-0.008,-15,0.017,-15,0.049,-15,0.069,-15,NaN,0,NaN,0.000435821071444195,0,0,0,0
2017-03-29 00:00,-22.2,-22.9,82,82.9958648681641,0.049,227.899993896484,215.3,0.528999984264374,100.41,100.42,0,0,0,0,0.391,NaN,0.368975579738617,113.94450378418,1,-13.653,-13.012,-12.602,-12.274,0.0189714077860117,0.0499781779944897,0.109956927597523,0.190127894282341,273.701202392578,324.395935058594,329.492980957031,296.1962890625,0.114755500793457,0.149977020263672,0.201329010009766,0.227005615234375,0.258775174617767,0.343603283166885,0.352847993373871,0.294802039861679,-26.0498870849609,-25.1543182373047,-23.252310180664,-19.3891967773437,5.19249725341797,16.2127170562744,36.230037689209,56.3151779174805,0,0,0,0,-17.3282989501953,-17.1814331054687,-16.9892639160156,-17.1339477539062,-16.7625183105469,-16.4838012695312,-16.1387084960937,-15.3124450683594,-14.2312683105469,-13.7137817382812,-12.9500183105469,-11.8883117675781,-10.6941589355469,-9.44351806640623,-8.27799072265623,-15,-0.009,-15,0.012,-15,0.05,-15,0.075,-15,NaN,0,NaN,0.000434602431813319,0,0,0,0
2017-03-30 00:00,-20.6,-17.5999969482422,83,87.9948272705078,0,220.899993896484,229.2,1.00000001335143e-10,100.08,100.06,0,0,0,0,0.391,NaN,0.368846774101257,113.954078674316,1,-13.056,-12.644,-12.316,-12.113,0.0189520549029112,0.0499730445444584,0.10994703322649,0.190037295222282,273.798706054688,324.429260253906,329.522644042969,296.337524414063,0.115555686950684,0.150492614746094,0.201433090209961,0.22730387878418,0.258844405412674,0.343662887811661,0.352901875972748,0.295036315917969,-21.3184265136719,-21.1314910888672,-20.7100891113281,-18.9682830810547,5.18904638290405,16.2127170562744,36.230037689209,56.3151779174805,0,0,0,0,-17.1395629882812,-17.0575622558594,-16.9401611328125,-17.0269836425781,-16.7830871582031,-16.5608276367187,-16.2384704589844,-15.3532470703125,-14.2394165039062,-13.7283996582031,-12.9754089355469,-11.9238037109375,-10.7353271484375,-9.48639526367185,-8.31937255859373,-15,-0.005,-15,0.019,-15,0.056,-15,0.076,-15,NaN,0,NaN,0.000437111642156756,0,0,0,0
2017-03-31 00:00,-17.5,-17.7000030517578,87,86.9944915771484,0.398,243,243,0.259999990463257,99.75,99.75,0,0,1.54617402516562e-06,0,0.391,NaN,0.368711769580841,113.926345825195,1,-12.609,-12.42,-12.152,-11.981,0.018930708989501,0.0499673038721085,0.109936058521271,0.189943328499794,273.830169677734,324.466552734375,329.555541992188,296.484100341797,0.116520004272461,0.151164093017578,0.201533004760742,0.227388977050781,0.25901871919632,0.343729853630066,0.352961808443069,0.295279383659363,-19.3988555908203,-19.3296112060547,-19.1269592285156,-18.0641540527344,5.18380117416382,16.2127170562744,36.230037689209,56.3151779174805,0,0,0,0,-16.8841613769531,-16.8331970214844,-16.7553771972656,-16.8122619628906,-16.6434692382812,-16.4750122070312,-16.2118896484375,-15.3862976074219,-14.2555297851562,-13.7448181152344,-12.9993347167969,-11.9574035644531,-10.7753967285156,-9.52872314453123,-8.36044921874998,-15,-0.005,-15,0.018,-15,0.054,-15,0.079,-15,NaN,0,NaN,0.000436325202885663,0,0,0,0
2017-04-01 00:00,-18.2,-18.0999969482422,85,85.9943313598633,0,237.699996948242,237.8,1.00000001335143e-10,99.35,99.33,0,0,4.91540091554649e-06,3.48087382917583e-06,0.391,NaN,0.371841281652451,114.112358093262,1,-11.86,-11.76,-11.553,-11.476,0.0197920817881823,0.049987718462944,0.109976083040237,0.190634787082672,255.169937133789,323.288421630859,329.54345703125,296.771606445313,0.117334693908691,0.151159286499023,0.201280227661133,0.227359634399414,0.231228843331337,0.341849714517593,0.352949380874634,0.29573255777359,-16.9613403320312,-16.9490417480469,-17.0681823730469,-17.072119140625,5.04739952087402,16.1604347229004,36.2418975830078,56.5750961303711,0,0,0,0,-16.4727233886719,-16.4617370605469,-16.4362854003906,-16.4537414550781,-16.3858093261719,-16.288916015625,-16.1028198242187,-15.3841003417969,-14.2739929199219,-13.7637390136719,-13.023291015625,-11.989599609375,-10.8143371582031,-9.57047119140623,-8.40115966796873,-15,-0.009,-15,0.009,-15,0.052,-15,0.075,-15,NaN,0,NaN,0.000435846565090615,0,0,0,0
