,0
3,373.148023873063
4,362.0604956336242
5,352.5335661857443
6,245.19676745870424
7,230.50669978072318
8,223.61935210867932
9,214.8721276023589
10,223.4704458733313
11,232.22505847179275
12,229.4637534426387
13,221.66984271924125
14,219.81884086897776
15,217.73390784960606
16,307.9424034600372
18,374.8907695099678
19,361.5666603425132
20,358.7939315990847
21,322.8240591411436
23,220.18121773286907
24,218.4271656856231
25,218.5961251101117
26,217.63965928402013
27,317.2601587471929
28,256.48945866852563
29,240.116421248661
30,210.24848676416485
31,199.80816829703184
32,222.8233714869582
33,221.45196425628427
34,378.99452922562796
35,342.12800689251446
36,338.1394237596995
37,235.2389419040325
38,232.5063608315634
39,230.20554939848478
40,218.90296135392265
41,222.67189187751768
42,222.48944142560546
43,225.24308505261416
44,210.29431813260618
45,306.26981922038317
46,321.6744588703744
47,227.14249161436868
48,236.41436032971723
49,229.05533096085065
50,209.4593714677532
51,235.28124206847252
52,218.2448861993734
53,215.9810335236483
54,215.1846650191963
55,216.99602698281635
56,189.29906216013183
57,218.35121234227086
58,294.4360643043839
59,366.57528177421943
60,361.7577050775434
61,344.98079235357375
63,218.85514281020897
64,219.86443202596826
65,220.5477346898194
66,219.98102791400873
67,218.09031332838524
70,311.88859934945236
71,237.2210752151884
72,206.14196167985602
73,219.0719799796467
74,218.77053998382655
75,218.99424363023888
76,221.88338958187882
77,223.00077603058145
78,224.43972866073176
79,281.49677136540834
81,379.17096136865894
82,399.16760398283554
83,382.94571813297716
84,379.11606946479947
85,364.5930828205427
87,219.00612372657093
88,215.70821743771512
89,215.16557955104
90,253.67109966012106
91,372.60915368674495
92,408.0019373213604
93,381.5806315813965
94,322.3840287310081
95,341.0698023148637
96,325.98855798618575
97,337.70539962434145
98,262.8779457746411
99,249.67301496712517
100,284.89289975761574
101,308.59297670573795
102,254.4388190002859
103,248.36272529068881
104,242.3267566650866
105,420.5206756480273
106,389.7640186948456
107,397.39258915690755
108,398.36741057070384
109,396.9938682983593
111,226.31106136895133
112,276.6333341855572
113,296.8939119881736
114,218.015226662435
115,218.79361988258484
116,214.50446741516646
117,222.95286796610574
118,218.75842760361724
119,219.50178170104095
120,208.97482747970085
121,219.4753283294237
122,369.56499693798327
123,361.7684110209403
124,276.210799301547
125,242.7605858731244
126,222.90558031756703
127,212.40823022953032
128,213.94626225454658
129,212.6953996416741
130,336.2985580644869
131,232.74299380017385
132,312.56507620982364
133,309.68279832326476
134,197.5301988110346
135,190.83275582661798
136,172.0437974635848
137,409.0150961728443
138,392.1470092057763
139,382.9992357777011
140,401.0062940522305
141,358.4291844219256
142,375.68812277853533
143,381.93626877255
144,398.2108886637581
145,356.3574390925169
146,346.90333945524725
147,325.86130946352716
148,216.13668128981087
149,218.61036834674601
150,220.1340313961432
151,218.34494741813228
152,395.041159473068
153,370.80925388375084
154,365.04411261606737
155,336.5867570930898
156,262.0816862269527
157,265.59281547308103
158,265.99047621316873
159,222.23036336513692
160,218.20599186875293
161,210.4334865561069
162,242.29811817120958
163,371.3594265645842
164,337.3199194296384
165,356.87053087384953
166,214.5028005105597
167,233.71771193298702
168,212.57023455959086
170,262.72901901082747
171,264.9926561485476
172,260.15038946589016
173,256.89063757221487
174,279.9640097936531
175,305.4263417997046
176,412.29080922523246
177,370.2906807067849
178,381.7442554429532
179,229.08526227966092
180,220.1377738648362
181,221.12459621881396
182,218.9188921153426
183,217.97836606516273
184,227.62287617991154
185,214.71325726533578
2,324.53447794108814
3,328.22162444661836
4,246.47571348963913
5,307.0197943919375
6,273.73651044800386
7,241.39981433257967
8,263.8055850046367
9,233.82971170751313
10,231.56580699404213
11,231.25098988486317
14,347.25738836038624
15,340.56208265516057
16,328.247397850587
17,197.6553659968125
18,153.90011286544117
19,139.75490350278795
20,209.55876409383416
21,188.58246329507125
22,317.45660743879534
23,292.87609766823834
25,221.0477840767396
26,210.60913396586892
27,219.4884872953566
28,209.0928369974281
29,217.2334967709531
30,209.5006166660187
32,371.8495517119669
33,348.38365877637835
34,218.2895924904937
35,258.3287580565126
36,218.73290376548454
37,218.66434447835087
38,214.95063360976047
39,211.16644034144645
40,207.88039567835153
42,359.83464445746114
43,370.2263368636328
44,329.54914880907444
45,218.8652640872063
47,225.2437240435051
48,215.6049421584715
49,224.65747415337685
