,RHO,TYPE,bottom,count_samp,error,force_median,id,index,l,mean_samp,median_samp,relative_height_mm,stdev_samp,top,force_log
95,311.9999999999999,N,32.0,7,185.94171138348298,3.3038354870817725,RP_15,4,0.14525073144121317,497.94171138348287,498.3796342828821,135.0,3.7260854850027543,35.0,1.1950840623735983
96,311.9999999999999,F,29.0,7,143.75884832286528,4.165651577159337,RP_15,5,0.322037488790379,455.75884832286516,486.91915921449765,165.0,71.44744774485739,32.0,1.4268727044778526
97,343.0000000000001,F,26.0,7,138.24416668651708,6.7608877076560985,RP_15,6,0.34336219993300937,481.2441666865172,561.7674354832402,195.0,118.37841066920237,29.0,1.9111541991340646
98,235.0,F,23.0,7,91.85489275357133,0.5642550603547198,RP_15,7,0.34314340411275085,326.85489275357133,327.4143776219207,225.0,4.637340885156449,26.0,-0.5722488950398688
99,255.99999999999994,F,20.0,7,46.138974726265985,0.3840349567366717,RP_15,8,0.38130807710073933,302.13897472626593,304.8675286849193,255.0,5.118865082081273,23.0,-0.9570216973692617
100,274.00000000000006,F,17.0,7,98.55700099588245,1.3359750199931764,RP_15,9,0.3869083490885715,372.5570009958825,381.8889956298277,285.0,25.98334833282335,20.0,0.28966137732975356
101,285.0,F,14.0,7,137.53632631271074,2.0416979966664397,RP_15,10,0.2783050445816642,422.53632631271074,427.10865103568955,315.0,11.790352285202298,17.0,0.7137818129509542
102,224.00000000000006,D,11.0,7,87.97414031301412,0.492079587748952,RP_15,11,0.4265095648578634,311.9741403130142,310.50941810596055,345.0,2.82851837033666,14.0,-0.7091148118547862
103,226.9999999999999,D,8.0,7,73.78102933616145,0.4046737203393839,RP_15,12,0.4450043721955536,300.78102933616134,300.78061091995437,375.0,2.9914033861974016,11.0,-0.9046741653605174
104,190.0,D,5.0,7,100.80552953429543,0.3436805037603727,RP_15,13,0.4916004204007181,290.80552953429543,290.3370293406523,405.0,1.4975009917965338,8.0,-1.0680428213195587
105,438.0000000000001,N,50.0,7,237.82963455123183,26.23339242848657,RP_16,0,0.14030203520685908,675.829634551232,678.5541627459983,15.0,9.789103387960182,53.0,3.267033119426913
106,430.0,N,47.0,7,170.32307771329295,16.309783302225032,RP_16,1,0.20768653648189597,600.323077713293,600.1855684992206,45.0,35.202960436072956,50.0,2.7917651303536752
107,416.9999999999999,N,44.0,7,209.444138012694,12.223466702126185,RP_16,2,0.10679567493809967,626.4441380126939,626.4261189178003,75.0,1.8225756321404718,47.0,2.5033576043558337
108,408.0000000000001,N,41.0,7,220.61358437402828,12.565125330171627,RP_16,3,0.10741369292822224,628.6135843740284,627.7590222755746,105.0,2.0261046421915037,44.0,2.5309251454919006
109,400.0,N,38.0,7,225.75889214072868,12.397650316877492,RP_16,4,0.11218130927424255,625.7588921407287,626.0800951195546,135.0,16.910135412399516,41.0,2.517506964080988
110,330.99999999999994,N,35.0,7,-245.82620934096062,4.640173857450656,RP_16,5,1.7591962480377992,85.17379065903933,82.73739051040516,165.0,48.23066207227018,38.0,1.5347518348143667
111,255.0,N,32.0,7,4.778648962836371,0.1758289649972858,RP_16,6,0.46484509199721463,259.77864896283637,260.0775528344815,195.0,7.29648982720446,35.0,-1.7382435462259649
112,241.9999999999999,F,29.0,7,79.48522964641973,1.090479162449308,RP_16,7,0.4169445278674404,321.4852296464196,300.269518036801,225.0,47.48957477748356,32.0,0.08661719822325219
