,0
0,138.5970491509746
1,295.512020065416
2,265.2652361974956
3,365.4074691173153
4,355.85425028164514
5,346.96056185857077
6,248.51695243580332
7,234.35367824196373
8,227.0740776213489
9,214.8101822416088
10,227.10206278594805
11,237.09054087794152
12,235.21512981579366
13,225.0861435636769
14,223.36953628962527
15,219.62119611616515
16,305.03216440470896
17,372.7941755204262
18,367.59538110637277
19,355.69515472607
20,352.7757133138324
21,327.2891794319089
23,222.90913273961638
24,219.8178443969622
25,220.39416835601656
26,218.63698202635172
27,313.5755751913026
28,258.31248692386606
29,243.2040132089438
30,213.4893436145871
31,200.37386664823308
32,229.72517729017105
33,217.96530155427791
34,370.41964850508384
35,337.9742110472468
36,334.0688509033625
37,238.69320696948247
38,236.80903903818725
39,235.00842487418961
40,225.561201571965
41,226.70348289221278
42,226.01383557160239
43,228.85715511091516
44,215.38947129921493
45,311.8645582879667
46,319.60178929277697
47,230.9080565288192
48,240.6147103403817
49,232.7396089009585
50,210.22667382435267
51,240.79295041102142
52,219.46577385616456
53,216.89034134534276
54,216.0326990634548
55,215.5774641401842
56,191.58381171899424
57,233.1309060327514
58,292.54669567578367
59,359.28179044401594
60,354.96358674702265
61,340.41818088117924
62,292.2617164099556
63,214.79825528545854
64,216.74945997996207
65,218.71832155594115
66,218.56148510600946
67,218.70652743700302
68,256.4354697604746
69,293.7870644067431
70,309.3357573738276
71,240.6287632094599
72,203.78203951333236
73,216.66766390519612
74,220.18775733974854
75,221.00023292751416
76,228.74318071183689
77,227.43068810431882
78,231.09047567397323
79,294.2969003492299
80,390.9474814745503
81,372.9578364992
82,388.6460760579383
83,375.71745200737814
84,370.16239008854933
85,359.0029282015607
86,220.2597225357559
87,220.87459255545235
88,221.69388283219595
89,218.89508633373703
90,269.31595340455186
91,369.079309825225
92,398.0223171572587
93,377.72291626234625
94,332.52799395702255
95,335.7895882338223
96,325.9304036650369
97,337.9128375700503
98,265.3894701447982
99,252.84518418392432
100,287.5350435882019
101,308.22871719394175
102,257.96039292135333
103,252.04807199310912
104,246.29886743043835
105,408.63937520163773
106,382.6110149508333
107,386.37581473881886
108,387.2829919230776
109,386.1717929600685
110,179.06363160923667
111,229.8504253803256
112,279.94395417552954
113,299.12971821929875
114,219.50542623352476
115,220.3740224274182
116,220.31755881799842
117,227.38882201645043
118,218.73407574622956
119,224.11551783879963
120,214.55555993750394
121,229.95537706626124
122,362.7571625630781
123,354.9998300628033
124,285.666716770522
125,246.47897186700186
126,226.2956597935325
127,210.15507583451978
128,211.60917616711507
129,210.30482490672628
130,330.5815295300085
131,236.31883361489565
132,319.61860561988925
133,314.3623590096562
134,200.57881358392174
135,189.75602925700787
136,180.33204266202716
137,399.0725109899987
138,382.7431782750002
139,377.3223355463669
140,392.8261299127229
141,353.6920791285401
142,367.63442066447277
143,373.1516969779415
144,387.6390346278436
145,352.298113584013
146,341.4169868435897
147,324.3055511524669
148,217.72963660878042
149,218.90406502541666
150,223.1474694288711
151,218.41143124564505
152,385.2109804065104
153,362.3212114243445
154,357.10905905415376
155,337.8910522510649
156,268.48283197718666
157,270.4682005039517
158,273.1382798362896
159,226.6462189058307
160,226.0763720187506
161,215.0561559631667
162,260.4795822056318
163,365.9417244307847
164,333.1770692987645
165,350.97240862313936
166,217.90356918533277
167,237.5597826911292
168,215.26294800366782
169,211.24474413774874
170,271.547504734417
171,271.5098435605163
172,268.0763027993343
173,263.2690536739396
174,286.9031791096119
175,317.45340652235325
176,400.72794629955945
177,364.1347649737611
178,372.3208167692522
179,243.38410589054234
180,222.94633005417182
181,224.09118544077484
182,221.1180667142578
183,221.34700918404465
184,234.42546976434434
185,218.98865775289732
2,323.871991913523
3,326.13633272970696
4,253.87051974119612
5,307.94219629977886
6,279.09285357596
7,247.793621751685
8,268.87831457102385
9,237.83752453938826
10,238.36803768661363
11,235.32174463422913
13,378.806170168273
14,353.36265519378156
15,338.4284587037699
16,328.6812600614432
17,197.39504881588346
18,165.55738452563494
19,152.63955324565464
20,230.6189566587392
21,228.36118930362085
22,324.71941831724325
23,301.61088579367413
25,218.83735194850107
26,215.4713585199139
27,218.13023653611776
28,215.0666653701553
29,219.61885531014144
30,214.99776312683673
32,365.3087887986409
33,345.3383974593057
34,220.9960461360207
35,270.52511055279996
36,220.01795215871044
37,219.69413322505798
38,219.73222566994792
39,215.27883880153934
40,218.52325788471893
42,355.77770410209877
43,363.86438352761434
44,329.62408620827523
45,219.1066516433479
47,220.12235199949396
48,220.61781120419823
49,219.53547829609195
