Time,AirTemp_Obs,AirTemp_CLM,RH_Obs,RH_CLM,Shortwave_Obs,Shortwave_CLM,Longwave_Obs,Longwave_CLM,AirPressure_Obs,AirPressure_CLM,Rainfall_Obs,Rainfall_CLM,Snowfall_Obs,Snowfall_CLM,SnowDepth_Echosounder_obs,SnowDepth_MSC_obs,SnowDepth_CLM,SWE_CLM,SCF_CLM,SoilTemp_2cm_Obs,SoilTemp_5cm_Obs,SoilTemp_10cm_Obs,SoilTemp_20cm_Obs,SnowLayerThickness_1,SnowLayerThickness_2,SnowLayerThickness_3,SnowLayerThickness_4,SnowLayerDensities_1,SnowLayerDensities_2,SnowLayerDensities_3,SnowLayerDensities_4,SnowLayerGrainRadii_1,SnowLayerGrainRadii_2,SnowLayerGrainRadii_3,SnowLayerGrainRadii_4,SnowThermalConductivities_1,SnowThermalConductivities_2,SnowThermalConductivities_3,SnowThermalConductivities_4,SnowLayerTemps_1,SnowLayerTemps_2,SnowLayerTemps_3,SnowLayerTemps_4,SnowIceContent_1,SnowIceContent_2,SnowIceContent_3,SnowIceContent_4,SnowLiquidWater_1,SnowLiquidWater_2,SnowLiquidWater_3,SnowLiquidWater_4,SoilTemp_1cm_CLM,SoilTemp_4cm_CLM,SoilTemp_9cm_CLM,SoilTemp_10cm_CLM,SoilTemp_16cm_CLM,SoilTemp_26cm_CLM,SoilTemp_40cm_CLM,SoilTemp_80cm_CLM,SoilTemp_136cm_CLM,SoilTemp_170cm_CLM,SoilTemp_208cm_CLM,SoilTemp_250cm_CLM,SoilTemp_299cm_CLM,SoilTemp_358cm_CLM,SoilTemp_427cm_CLM,SoilMoisture_1cm_CLM,SoilMoisture_2cm_Obs,SoilMoisture_4cm_CLM,SoilMoisture_5cm_Obs,SoilMoisture_9cm_CLM,SoilMoisture_10cm_Obs,SoilMoisture_16cm_CLM,SoilMoisture_20cm_Obs,SoilMoisture_26cm_CLM,NEE_Obs,NEE_CLM,CH4_Obs,CH4_CLM,NPP_CLM,EcosysResp_CLM,CO2Flux_CLM,SoilResp_CLM
2018-04-22 00:00,-23.6,-21.5000061035156,83,83.9955291748047,0,170.899993896484,176.5,0.377000004053116,101.46,101.46,0,0,0,0,0.368834437086093,0.5043,0.210001021623611,70.0078811645508,1,-10.673,-10.328,-9.991,-9.819,0.0198930185288191,0.0499955601990223,0.140156626701355,NaN,246.418701171875,339.273742675781,343.554077148438,NaN,0.198708847045898,0.340929626464844,0.403502899169922,NaN,0.0854289308190346,0.167472362518311,0.172598242759705,NaN,-22.2327941894531,-19.5229553222656,-15.6104187011719,NaN,4.90201187133789,16.9621810913086,48.1513786315918,NaN,0,0,0,NaN,-12.6807312011719,-12.5861572265625,-12.4820617675781,-12.5634216308594,-12.3690551757812,-12.2174743652344,-11.97275390625,-11.2480224609375,-10.401708984375,-10.0188659667969,-9.58988037109373,-8.92142333984373,-8.06662597656248,-7.15695800781248,-6.31351318359373,0.416695147752762,-0.008,0.487859219312668,0.01,0.492229700088501,0.057,0.484804093837738,0.074,0.466009140014648,1.11413,1.27299801233146e-19,0.0002287,0.000222234055939118,-1.27299801233146e-19,1.27299801233146e-19,4.66765911769555e-19,1.27299801233146e-19
2018-04-23 00:00,-22.4,-21.7000030517578,82,81.9951705932617,0,178.199996948242,180.1,0.428000003099442,101.19,101.22,0,0,0,0,0.370741721854305,0.5043,0.209912016987801,69.9878005981445,1,-10.505,-10.236,-9.955,-9.81,0.0198180861771107,0.0499924756586552,0.140146911144257,NaN,246.574310302734,339.294677734375,343.577880859375,NaN,0.201704940795898,0.343090881347656,0.404873931884766,NaN,0.0855244621634483,0.167497128248215,0.172627076506615,NaN,-21.5299743652344,-18.9326843261719,-15.2241271972656,NaN,4.88663339614868,16.9621810913086,48.1513786315918,NaN,0,0,0,NaN,-12.6318115234375,-12.5565246582031,-12.4718994140625,-12.5377258300781,-12.3775390625,-12.2455505371094,-12.0214599609375,-11.3089660644531,-10.4255126953125,-10.03427734375,-9.60419311523435,-8.9405578613281,-8.0931457519531,-7.1886047363281,-6.3458312988281,0.416695147752762,-0.005,0.487859219312668,0.014,0.492229700088501,0.054,0.484804093837738,0.065,0.466009140014648,0.736217,1.27346116432629e-19,-9.683e-05,0.000223313094384354,-1.27346116432629e-19,1.27346116432629e-19,4.66935765641087e-19,1.27346116432629e-19
2018-04-24 00:00,-14.1,-13.4,86,85.9913177490234,0,208.100006103516,207.3,1.24300003051758,100.26,100.27,0,0,0,0,0.372649006622517,0.5037,0.209810048341751,69.9620361328125,1,-9.921,-9.915,-9.725,-9.659,0.0197385642677546,0.0499892458319664,0.140137001872063,NaN,246.45361328125,339.316589355469,343.602203369141,NaN,0.204631851196289,0.345147613525391,0.406046234130859,NaN,0.0854572877287865,0.167522966861725,0.172656506299973,NaN,-18.306509399414,-16.8541320800781,-14.5953430175781,NaN,4.86464405059814,16.9621810913086,48.1513786315918,NaN,0,0,0,NaN,-12.3747619628906,-12.3724426269531,-12.3518127441406,-12.3646606445312,-12.3085998535156,-12.217138671875,-12.0262817382812,-11.3507751464844,-10.4515747070312,-10.0529541015625,-9.62079467773435,-8.96018066406248,-8.1190246582031,-7.21945800781248,-6.37766113281248,0.416695147752762,0.004,0.487859219312668,0.015,0.492229700088501,0.052,0.484804093837738,0.075,0.466009140014648,0.265231,1.28022970255533e-19,-0.000207758,0.000223939349780771,-1.28022970255533e-19,1.28022970255533e-19,4.6941756932063e-19,1.28022970255533e-19
2018-04-25 00:00,-2.8,-2.79999389648435,78,78.9694671630859,0,251.5,239.7,4.32399988174438,99.46,99.51,0,0,0,0,0.374556291390728,0.5035,0.209681183099747,69.9314651489258,1,-8.9,-9.244,-9.188,-9.264,0.0196397453546524,0.0499853938817978,0.140126317739487,NaN,246.843353271484,339.342742919922,343.628387451172,NaN,0.208073684692383,0.347166687011719,0.406500854492187,NaN,0.0856844857335091,0.167553648352623,0.172688096761703,NaN,-11.83505859375,-11.7793334960937,-12.41318359375,NaN,4.8479471206665,16.9621810913086,48.1513786315918,NaN,0,0,0,NaN,-11.6379150390625,-11.7462524414062,-11.8495544433594,-11.7659057617187,-11.9275573730469,-11.9591735839844,-11.8882202148437,-11.3584350585937,-10.4776977539062,-10.074072265625,-9.63950195312498,-8.98056640624998,-8.14444580078123,-7.2496398925781,-6.4090637207031,0.416695147752762,0.002,0.487859219312668,0.013,0.492229700088501,0.059,0.484804093837738,0.077,0.466009140014648,0.121926,1.30650653779345e-19,-0.00389,0.000230910742667367,-1.30650653779345e-19,1.30650653779345e-19,4.79052382651576e-19,1.30650653779345e-19
2018-04-26 00:00,-2.2,-1.5000061035156,94,92.9866638183594,0,304.200012207031,296.2,1.94099998474121,99.82,99.75,0,0,0.000198729691080444,1.54617391672218e-05,0.37646357615894,0.5017,0.184884950518608,71.1232070922852,1,-1.873,-5.447,-6.916,-7.857,0.0173708479851484,0.0494522787630558,0.135380893945694,NaN,298.486480712891,355.794586181641,352.878387451172,NaN,0.262065765380859,0.366813812255859,0.412781921386719,NaN,0.13349261879921,0.186711475253105,0.182695806026459,NaN,-1.77692260742185,-3.28839721679685,-6.5423645019531,NaN,4.83108854293823,17.0379581451416,47.2220039367676,NaN,0.171726316213608,0.539901435375214,0.461888939142227,NaN,-8.69403686523435,-9.3455871582031,-10.0634826660156,-9.5024475097656,-10.6846374511719,-11.1786865234375,-11.4547180175781,-11.2858947753906,-10.4963439941406,-10.0953125,-9.65973510742185,-9.00180664062498,-8.16971435546873,-7.27924194335935,-6.44000854492185,0.416695177555084,0.057,0.487859189510345,0.027,0.492229670286179,0.058,0.484804064035416,0.071,0.466009110212326,-0.258033,1.40891362297459e-19,0.0013126,0.000246266530042905,-1.40891362297459e-19,1.40891362297459e-19,5.16601698362314e-19,1.40891362297459e-19
2018-04-27 00:00,-0.8,0.700006103515648,79,76.9569854736328,0,242.300003051758,241.9,2.36500000953674,100.17,100.19,0,1.41257899599623e-07,0,2.62336101286564e-07,0.378370860927152,0.4994,0.187150046229362,72.9708480834961,1,-4.905,-6.024,-6.447,-6.94,0.0171060338616371,0.0467337258160114,0.125720098614693,NaN,353.128204345703,392.888732910156,384.564758300781,NaN,0.331326995849609,0.432466033935547,0.458980712890625,NaN,0.185406610369682,0.239561378955841,0.227202489972115,NaN,-2.51291503906248,-1.24091186523435,-2.66538085937498,NaN,5.92356777191162,17.9717674255371,48.1726036071777,NaN,0.0987445563077927,0.389050245285034,0.17491303384304,NaN,-7.6311096191406,-8.08527221679685,-8.61432495117185,-8.2060607910156,-9.17865600585935,-9.76798095703123,-10.3563598632812,-10.9872192382812,-10.4897216796875,-10.1113647460937,-9.6798156738281,-9.02362670898435,-8.19489135742185,-7.30832519531248,-6.47049560546873,0.416695177555084,0.048,0.487859070301056,0.026,0.492229580879211,0.061,0.484804004430771,0.073,0.466009080410004,0.185352,1.48597945472601e-19,0.000855767,0.000259596619717459,-1.48597945472601e-19,1.48597945472601e-19,5.4485914776784e-19,1.48597945472601e-19
2018-04-28 00:00,-9.9,-8.60001220703123,93,93.9937362670898,0,270.899993896484,267.6,3.88700008392334,100.11,100.09,0,0,0,0,0.379,0.5051,0.187173172831535,72.9901657104492,1,-5.052,-5.795,-6.062,-6.458,0.0148952975869179,0.0465555191040039,0.125716716051102,NaN,345.153961181641,400.941864013672,391.422668457031,NaN,0.367648101806641,0.462013916015625,0.471318176269531,NaN,0.174500271677971,0.252767384052277,0.237996026873589,NaN,-5.05350341796873,-4.48923339843748,-5.71613159179685,NaN,5.14117383956909,18.6660556793213,49.2083702087402,NaN,0,0,0,NaN,-8.16123046874998,-8.36343994140623,-8.61533203124998,-8.42374267578123,-8.92267456054685,-9.29828491210935,-9.75504150390623,-10.5505737304687,-10.4209045410156,-10.1077026367187,-9.69513549804685,-9.0450500488281,-8.22000732421873,-7.33698120117185,-6.50055541992185,0.416695147752762,0.042,0.487858980894089,0.024,0.492229491472244,0.062,0.484803944826126,0.077,0.466009050607681,0.094236,1.48367970514699e-19,0.001195,0.000249868356184346,-1.48367970514699e-19,1.48367970514699e-19,5.44015843821833e-19,1.48367970514699e-19
2018-04-29 00:00,-16.7,-15.7999938964844,87,85.9930572509766,0,193.600006103516,191.6,4.87400007247925,100.55,100.55,0,0,0,0,0.376,0.5023,0.18716998398304,72.9452896118164,1,-5.867,-6.175,-6.254,-6.493,0.0149019174277782,0.0465551465749741,0.125714421272278,NaN,341.935577392578,400.945068359375,391.429779052734,NaN,0.368554534912109,0.462438446044922,0.471436676025391,NaN,0.170799791812897,0.252772510051727,0.238006964325905,NaN,-11.0536254882812,-9.39972534179685,-8.2393859863281,NaN,5.09549570083618,18.6660556793213,49.2083702087402,NaN,0,0,0,NaN,-8.8291076660156,-8.8704895019531,-8.96271362304685,-8.89911499023435,-9.11197509765623,-9.31967773437498,-9.59348144531248,-10.2162841796875,-10.3004211425781,-10.0699829101562,-9.69721069335935,-9.06339111328123,-8.2446350097656,-7.3652404785156,-6.53021850585935,0.416695147752762,0.038,0.487858861684799,0.029,0.492229431867599,0.058,0.484803885221481,0.076,0.466008991003036,1.04798,1.46270313174656e-19,0.000301906,0.000244889313431498,-1.46270313174656e-19,1.46270313174656e-19,5.3632447180496e-19,1.46270313174656e-19
2018-04-30 00:00,-4.7,-2.89999999999998,74,69.961669921875,0,229.199996948242,227.5,5.63299989700317,99.45,99.5,0,0,0,0,0.379,0.5016,0.18716786801815,72.8859786987305,1,-6.055,-6.538,-6.613,-6.818,0.0149018112570047,0.0465548634529114,0.125712528824806,NaN,339.191802978516,400.947509765625,391.435699462891,NaN,0.370245971679687,0.463579742431641,0.471643188476563,NaN,0.167577832937241,0.25277641415596,0.238016024231911,NaN,-12.5505737304687,-11.725439453125,-10.4887451171875,NaN,5.05457258224487,18.6660556793213,49.2083702087402,NaN,0,0,0,NaN,-9.05411376953123,-9.21768798828123,-9.3891662597656,-9.25357666015623,-9.54291381835935,-9.6666320800781,-9.75546874999998,-10.0384887695312,-10.1681274414062,-10.0059265136719,-9.68121948242185,-9.07510986328123,-8.26791992187498,-7.39301147460935,-6.55951538085935,0.416695147752762,0.041,0.487858772277832,0.026,0.492229342460632,0.061,0.484803825616837,0.08,0.466008961200714,0.0721133,1.44216154846644e-19,0.000444296,0.000243693928628235,-1.44216154846644e-19,1.44216154846644e-19,5.28792562297387e-19,1.44216154846644e-19
2018-05-01 00:00,1.9,2.80001220703127,72,66.9367828369141,0,278.200012207031,245.3,7.02600002288818,98.94,98.92,0,0,0,0,0.359,0.4859,0.147920250892639,67.7398071289063,0.990000009536743,-1.11,-3.635,-4.843,-5.796,0.0153922205790877,0.048024844378233,0.112437382340431,NaN,396.474304199219,421.354675292969,412.712371826172,NaN,0.412757598876953,0.471628601074219,0.480385223388672,NaN,0.253027141094208,0.285387217998505,0.270118653774261,NaN,-3.38532104492185,-3.9499572753906,-5.0810607910156,NaN,5.90877819061279,19.4698219299316,44.9873962402344,NaN,0.217849403619766,0.763443350791931,0.853746175765991,NaN,-5.2830871582031,-6.1995910644531,-7.19937744140623,-6.41620483398435,-8.10687866210935,-8.8977111816406,-9.4602111816406,-9.94830932617185,-10.0547546386719,-9.93173828124998,-9.64975585937498,-9.07803955078123,-8.28861083984373,-7.42008056640623,-6.5883850097656,0.418417990207672,0.063,0.487891405820847,0.032,0.492229253053665,0.066,0.484803766012192,0.075,0.466008931398392,0.326793,1.58270900747626e-19,-0.000230847,0.00028009018932129,-1.58270900747626e-19,1.58270900747626e-19,5.80326663100723e-19,1.58270900747626e-19
