Time,AirTemp_Obs,AirTemp_CLM,RH_Obs,RH_CLM,Shortwave_Obs,Shortwave_CLM,Longwave_Obs,Longwave_CLM,AirPressure_Obs,AirPressure_CLM,Rainfall_Obs,Rainfall_CLM,Snowfall_Obs,Snowfall_CLM,SnowDepth_MSC_obs,SnowDepth_CLM,SWE_CLM,SCF_CLM,SoilTemp_2cm_Obs,SoilTemp_5cm_Obs,SoilTemp_10cm_Obs,SoilTemp_20cm_Obs,SnowLayerThickness_1,SnowLayerThickness_2,SnowLayerThickness_3,SnowLayerThickness_4,SnowLayerDensities_1,SnowLayerDensities_2,SnowLayerDensities_3,SnowLayerDensities_4,SnowLayerGrainRadii_1,SnowLayerGrainRadii_2,SnowLayerGrainRadii_3,SnowLayerGrainRadii_4,SnowThermalConductivities_1,SnowThermalConductivities_2,SnowThermalConductivities_3,SnowThermalConductivities_4,SnowLayerTemps_1,SnowLayerTemps_2,SnowLayerTemps_3,SnowLayerTemps_4,SnowIceContent_1,SnowIceContent_2,SnowIceContent_3,SnowIceContent_4,SnowLiquidWater_1,SnowLiquidWater_2,SnowLiquidWater_3,SnowLiquidWater_4,SoilTemp_1cm_CLM,SoilTemp_4cm_CLM,SoilTemp_9cm_CLM,SoilTemp_10cm_CLM,SoilTemp_16cm_CLM,SoilTemp_26cm_CLM,SoilTemp_40cm_CLM,SoilTemp_80cm_CLM,SoilTemp_136cm_CLM,SoilTemp_170cm_CLM,SoilTemp_208cm_CLM,SoilTemp_250cm_CLM,SoilTemp_299cm_CLM,SoilTemp_358cm_CLM,SoilTemp_427cm_CLM,PotentialSoilWater_1cm_CLM,SoilMoisture_2cm_Obs,PotentialSoilWater_4cm_CLM,SoilMoisture_5cm_Obs,PotentialSoilWater_9cm_CLM,SoilMoisture_10cm_Obs,PotentialSoilWater_16cm_CLM,SoilMoisture_20cm_Obs,PotentialSoilWater_26cm_CLM,NEE_Obs,NEE_CLM,CH4_Obs,CH4_CLM,NPP_CLM,CO2Flux_CLM,SoilResp_CLM
2018-10-04 00:00,-3.2,-3.29999389648435,78,77.9701843261719,0,283.299987792969,286.5,1.00000001335143e-10,101.07,101.05,0,0,0,0,0.0817,0.0489091165363789,11.7055568695068,1,-0.432,-0.28,0.003,0,0.0183024499565363,0.0308696161955595,NaN,NaN,232.601455688477,242.046447753906,NaN,NaN,0.361658630371094,0.308257659912109,NaN,NaN,0.199339672923088,0.212143257260323,NaN,NaN,-3.2399963378906,-1.91828002929685,NaN,NaN,4.25716781616211,7.47181510925293,NaN,NaN,0,0,NaN,NaN,-0.862310791015602,-0.662329101562477,-0.405981445312477,-0.599798583984352,-6.10351560226263e-06,-0.0117553710937273,-0.0226806640624773,-0.0175842285156023,-0.312933349609352,-0.677618408203102,-1.21930541992185,-1.87583007812498,-2.65769042968748,-3.56558837890623,-4.52850952148435,-1.46544671058655,0.074,-1.13130414485931,0.089,-0.680711925029755,0.175,-0.0806329920887947,0.374,-0.0483274981379509,NaN,2.56228663302961,NaN,0.00195380114044222,-0.951538498730141,9.39505163461958,1.85016470095282
2018-10-05 00:00,-6.7,-8.19998779296873,85,89.9897232055664,0,225,223,1.00000001335143e-10,100.83,100.88,0,0,0,0,0.07515,0.048410452902317,11.6599740982056,1,-0.998,-0.381,-0.012,0.018,0.0180623438209295,0.0305697862058878,NaN,NaN,232.960952758789,244.419967651367,NaN,NaN,0.365681762695312,0.315180603027344,NaN,NaN,0.199851259589195,0.215467631816864,NaN,NaN,-4.2509826660156,-2.4294494628906,NaN,NaN,4.20781421661377,7.47181510925293,NaN,NaN,0,0,NaN,NaN,-1.64652099609373,-0.993322753906227,-0.469580078124977,-0.914465332031227,-6.10351560226263e-06,-0.0171874999999773,-0.0228942871093523,-0.0177673339843523,-0.311743164062477,-0.675787353515602,-1.21610107421873,-1.87030639648435,-2.64859619140623,-3.55170288085935,-4.51004638671873,-2.04364109039307,0.06,-1.51924872398376,0.081,-0.800016283988953,0.167,-0.130975127220154,0.372,-0.0506348498165607,NaN,2.09690932616581,NaN,0.00169357283077624,-0.63771648101003,7.6886675766047,1.69101933395989
2018-10-06 00:00,-8.5,-8.10001220703123,94,94.9945373535156,0,215.100006103516,260.7,1.00000001335143e-10,101.11,101.05,0,0,0,0,0.07927,0.0480278842151165,11.6361246109009,1,-0.931,-0.357,-0.049,0.012,0.0179239641875029,0.0303083639591932,NaN,NaN,233.155899047852,246.527938842773,NaN,NaN,0.369723693847656,0.322790985107422,NaN,NaN,0.200074300169945,0.218440070748329,NaN,NaN,-3.94745483398435,-2.35306396484373,NaN,NaN,4.17906856536865,7.47181510925293,NaN,NaN,0,0,NaN,NaN,-1.61850585937498,-1.1943420410156,-0.573248291015602,-1.03073730468748,-6.10351560226263e-06,-6.10351560226263e-06,-0.0240844726562273,-0.0183776855468523,-0.311346435546852,-0.673803710937477,-1.21268310546873,-1.86459960937498,-2.63944091796873,-3.5379699707031,-4.49188842773435,-2.1353611946106,0.056,-1.55249321460724,0.086,-0.935620486736298,0.175,-0.259710520505905,0.352,-0.052338358014822,NaN,1.96850381989915,NaN,0.00165052323390717,-0.616336199211179,7.21784752421749,1.57579642708501
2018-10-07 00:00,-7.3,-7.0000061035156,82,82.982307434082,0,208.100006103516,208.5,1.00000001335143e-10,102.02,101.99,0,0,0,0,0.07871,0.0476429723203182,11.5954236984253,1,-1.434,-0.603,-0.116,-0.003,0.0177692715078592,0.0300726052373648,NaN,NaN,233.201675415039,248.460311889648,NaN,NaN,0.373944396972656,0.329968353271484,NaN,NaN,0.200182124972343,0.221187442541122,NaN,NaN,-5.21268310546873,-3.11319580078123,NaN,NaN,4.14382171630859,7.47181510925293,NaN,NaN,0,0,NaN,NaN,-1.87753906249998,-1.4787658691406,-0.821600341796852,-1.2956604003906,-0.240850830078102,-6.10351560226263e-06,-0.0302795410156023,-0.0204223632812273,-0.312109374999977,-0.672552490234352,-1.20920410156248,-1.85867919921873,-2.63019409179685,-3.52435913085935,-4.47403564453123,-2.44955039024353,0.056,-1.85588026046753,0.078,-1.20611238479614,0.157,-0.626073002815247,0.35,-0.0561116710305214,NaN,1.25853294502501,NaN,0.0015484436404012,-0.642792309600849,4.61462068483286,0.827819048428984
2018-10-08 00:00,-7.6,-7.69998779296873,78,78.9803009033203,0,216.699996948242,217.9,1.00000001335143e-10,101.29,101.32,0,0,0,0,0.07222,0.0475116744637489,11.5989360809326,1,-1.098,-0.594,-0.152,0.009,0.0177333429455757,0.0298638995736837,NaN,NaN,232.634735107422,250.196487426758,NaN,NaN,0.377900054931641,0.337972808837891,NaN,NaN,0.199406579136848,0.223669409751892,NaN,NaN,-5.59482421874998,-3.43839111328123,NaN,NaN,4.12538051605225,7.47181510925293,NaN,NaN,0,0,NaN,NaN,-2.18314208984373,-1.73065795898435,-1.23892822265623,-1.62445678710935,-0.739630126953102,-6.10351560226263e-06,-0.0203918457031023,-0.0225585937499773,-0.311712646484352,-0.671240234374977,-1.20578613281248,-1.85272827148435,-2.62088623046873,-3.5108703613281,-4.4564270019531,-2.96676325798035,0.057,-2.34857106208801,0.073,-1.64789474010468,0.154,-0.907737851142883,0.328,-0.0714234784245491,NaN,1.09310706653403,NaN,0.00141985368785633,-0.561766062736093,4.00805945930996,0.729266323709859
2018-10-09 00:00,-7.9,-7.69998779296873,87,87.9874420166016,0,220.899993896484,224.1,1.00000001335143e-10,101.16,101.17,0,0,0,0,0.07601,0.0473411716520786,11.5971651077271,1,-1.412,-0.777,-0.244,-0.034,0.0177147407084703,0.0296735260635614,NaN,NaN,232.565444946289,251.801483154297,NaN,NaN,0.381567504882812,0.345530822753906,NaN,NaN,0.199281886219978,0.225977525115013,NaN,NaN,-6.19705810546873,-3.94638671874998,NaN,NaN,4.11983585357666,7.47181510925293,NaN,NaN,0,0,NaN,NaN,-2.52045288085935,-2.11871948242185,-1.60944213867185,-1.9953674316406,-0.894628906249977,-6.10351560226263e-06,-0.0163635253906023,-0.0231079101562273,-0.310888671874977,-0.669561767578102,-1.20230712890623,-1.8466857910156,-2.6115783691406,-3.49747314453123,-4.4390930175781,-3.28832268714905,0.062,-2.67582035064697,0.073,-1.99089002609253,0.142,-1.20888447761536,0.304,-0.111022353172302,NaN,1.09431091643196,NaN,0.00134774205626753,-0.61706038720727,4.0124732845224,0.659522998523197
2018-10-10 00:00,0.1,-0.199987792968727,98,97.9955749511719,0.034,309.200012207031,312.2,0.0829999968409538,100.8,100.79,0,0,1.04890071540743e-05,3.93691661884077e-05,0.1098,0.058086808770895,13.6711511611938,1,-0.642,-0.516,-0.191,-0.043,0.0187671277672052,0.0308430884033442,NaN,NaN,225.585922241211,251.897338867188,NaN,NaN,0.368241943359375,0.352264831542969,NaN,NaN,0.19007109105587,0.226641207933426,NaN,NaN,-3.72785034179685,-2.65216674804685,NaN,NaN,4.22684860229492,7.76387643814087,NaN,NaN,0,0,NaN,NaN,-0.925726318359352,-0.901861572265602,-0.803778076171852,-0.867407226562477,-0.585821533203102,-6.10351560226263e-06,-0.0354064941406023,-0.0236267089843523,-0.309820556640602,-0.667669677734352,-1.19870605468748,-1.84061279296873,-2.60227050781248,-3.48422851562498,-4.42197265624998,-3.22712111473083,0.06,-2.70407605171204,0.08,-2.04168224334717,0.137,-1.23957908153534,0.274,-0.186312884092331,NaN,1.43551538874985,NaN,0.0014161382597154,-0.970000635351184,5.26355622978516,0.637730112071339
2018-10-11 00:00,-7.1,-6.89999999999998,94,93.9927368164063,0,265.600006103516,273.9,1.00000001335143e-10,100.14,100.17,0,0,0,0,0.1222,0.0686354860663414,16.1819000244141,1,-0.381,-0.338,-0.107,-0.027,0.0199999995529652,0.0458329245448112,NaN,NaN,224.270233154297,243.483184814453,NaN,NaN,0.272720550537109,0.343179168701172,NaN,NaN,0.188200071454048,0.214403986930847,NaN,NaN,-1.90445556640623,-1.17304077148435,NaN,NaN,4.48540496826172,11.1586561203003,NaN,NaN,8.77256767228829e-10,5.50502803065012e-11,NaN,NaN,-0.978430175781227,-0.779730224609352,-0.578070068359352,-0.738806152343727,-0.361791992187477,-0.0705322265624773,-0.0182861328124773,-0.0236267089843523,-0.308630371093727,-0.665563964843727,-1.19492187499998,-1.83444824218748,-2.59293212890623,-3.4710754394531,-4.40509643554685,-3.17440938949585,0.064,-2.71002650260925,0.085,-2.04165101051331,0.149,-1.23285162448883,0.264,-0.190373152494431,NaN,1.06874055997895,NaN,0.00141019455688139,-0.598105752768327,3.91871536607979,0.625282984165293
2018-10-12 00:00,-4.1,-4.5000061035156,95,94.9924697875977,0,290.299987792969,290.8,1.00000001335143e-10,100.03,100.03,0,0,1.54237795747138e-07,0,0.1119,0.0692936405539513,16.3634014129639,1,-0.685,-0.435,-0.17,-0.021,0.0199868511408567,0.0489419102668762,NaN,NaN,214.977157592773,244.260345458984,NaN,NaN,0.266242980957031,0.343465576171875,NaN,NaN,0.176242008805275,0.215282961726189,NaN,NaN,-4.58359374999998,-2.7638000488281,NaN,NaN,4.296715259552,11.9545984268188,NaN,NaN,0,0,NaN,NaN,-1.31784667968748,-1.16461791992185,-0.945623779296852,-1.1076721191406,-0.632666015624977,-0.156652832031227,-0.0114196777343523,-0.0249694824218523,-0.308691406249977,-0.663397216796852,-1.19101562499998,-1.82819213867185,-2.5836242675781,-3.4580139160156,-4.3884338378906,-3.1284806728363,0.068,-2.715327501297,0.08,-2.04161024093628,0.143,-1.22824442386627,0.258,-0.261948019266129,NaN,1.09130973537235,NaN,0.00139393379922289,-0.631601208266294,4.00146904231996,0.592278852699391
2018-10-13 00:00,-2.4,-2.69998779296873,97,96.9946441650391,0,300.399993896484,300.9,1.00000001335143e-10,100.5,100.44,0,0,0,2.15932914215955e-07,0.1131,0.0701132714748383,16.6258106231689,1,-0.347,-0.325,-0.128,-0.055,0.0199999995529652,0.0497589856386185,NaN,NaN,214.043121337891,245.66943359375,NaN,NaN,0.265390625,0.346417358398438,NaN,NaN,0.174991115927696,0.217268660664558,NaN,NaN,-2.2237609863281,-1.5134338378906,NaN,NaN,4.28086233139038,12.2243576049805,NaN,NaN,0,0,NaN,NaN,-0.702703857421852,-0.630590820312477,-0.538763427734352,-0.608282470703102,-0.422918701171852,-0.160742187499977,-6.10351560226263e-06,-0.0263732910156023,-0.308721923828102,-0.661840820312477,-1.18717041015623,-1.8219055175781,-2.57431640624998,-3.4450744628906,-4.37198486328123,-3.08829426765442,0.067,-2.72005724906921,0.084,-2.04156374931335,0.149,-1.22609925270081,0.254,-0.318045943975449,NaN,1.08469624733777,NaN,0.00141504817161605,-0.624501469983587,3.97721977472465,0.572089433426163
